Vector1: win 6, lose 4(1515.028131)
Vector2: win 4, lose 6(1484.971869)
Vector1: win 2, lose 8(1332.621090)
Vector2: win 8, lose 2(1667.378910)
Vector1: win 3, lose 7(1427.266065)
Vector2: win 7, lose 3(1572.733935)
Vector1: win 4, lose 6(1430.857980)
Vector2: win 6, lose 4(1569.142020)
Vector1: win 5, lose 5(1513.797587)
Vector2: win 5, lose 5(1486.202413)
Vector1: win 4, lose 6(1412.059151)
Vector2: win 6, lose 4(1587.940849)
Vector1: win 6, lose 4(1507.871109)
Vector2: win 4, lose 6(1492.128891)
Vector1: win 3, lose 7(1428.594402)
Vector2: win 7, lose 3(1571.405598)
Vector1: win 4, lose 6(1506.803926)
Vector2: win 6, lose 4(1493.196074)
Vector1: win 2, lose 8(1418.276005)
Vector2: win 8, lose 2(1581.723995)
Vector1: win 0, lose 10(1242.767334)
Vector3: win 10, lose 0(1675.508671)
Vector1: win 4, lose 6(1473.014885)
Vector3: win 6, lose 4(1445.261120)
Vector1: win 4, lose 6(1363.404656)
Vector3: win 6, lose 4(1554.871349)
Vector1: win 3, lose 7(1306.324637)
Vector3: win 7, lose 3(1611.951368)
Vector1: win 4, lose 6(1454.967994)
Vector3: win 6, lose 4(1463.308011)
Vector1: win 5, lose 5(1470.190902)
Vector3: win 5, lose 5(1448.085103)
Vector1: win 1, lose 9(1292.640949)
Vector3: win 9, lose 1(1625.635056)
Vector1: win 4, lose 6(1343.586503)
Vector3: win 6, lose 4(1574.689502)
Vector1: win 3, lose 7(1361.024120)
Vector3: win 7, lose 3(1557.251885)
Vector1: win 4, lose 6(1387.957516)
Vector3: win 6, lose 4(1530.318489)
Vector1: win 3, lose 7(1420.591975)
Vector4: win 7, lose 3(1467.365541)
Vector1: win 2, lose 8(1317.962929)
Vector4: win 8, lose 2(1569.994587)
Vector1: win 2, lose 8(1441.361360)
Vector4: win 8, lose 2(1558.638640)
Vector1: win 4, lose 6(1376.981338)
Vector4: win 6, lose 4(1623.018662)
Vector1: win 3, lose 7(1384.207022)
Vector4: win 7, lose 3(1615.792978)
Vector1: win 3, lose 7(1457.263243)
Vector4: win 7, lose 3(1542.736757)
Vector1: win 2, lose 8(1339.384216)
Vector4: win 8, lose 2(1660.615784)
Vector1: win 2, lose 8(1336.019721)
Vector4: win 8, lose 2(1663.980279)
Vector1: win 3, lose 7(1424.229456)
Vector4: win 7, lose 3(1575.770544)
Vector1: win 4, lose 6(1466.833243)
Vector4: win 6, lose 4(1533.166757)
Vector1: win 4, lose 6(1477.885812)
Vector4: win 6, lose 4(1522.114188)
Vector1: win 2, lose 8(1392.193330)
Vector4: win 8, lose 2(1607.806670)
Vector1: win 3, lose 7(1434.063462)
Vector4: win 7, lose 3(1565.936538)
Vector1: win 3, lose 7(1399.228140)
Vector4: win 7, lose 3(1600.771860)
Vector1: win 1, lose 9(1337.454689)
Vector4: win 9, lose 1(1662.545311)
Vector1: win 1, lose 9(1340.722163)
Vector4: win 9, lose 1(1659.277837)
Vector1: win 3, lose 7(1462.707479)
Vector4: win 7, lose 3(1537.292521)
Vector1: win 3, lose 7(1347.958076)
Vector4: win 7, lose 3(1652.041924)
Vector1: win 2, lose 8(1350.291054)
Vector4: win 8, lose 2(1649.708946)
Vector1: win 1, lose 9(1286.997948)
Vector4: win 9, lose 1(1713.002052)
Vector2: win 4, lose 6(1512.983213)
Vector3: win 6, lose 4(1487.016787)
Vector2: win 5, lose 5(1472.126321)
Vector3: win 5, lose 5(1527.873679)
Vector2: win 2, lose 8(1438.542302)
Vector3: win 8, lose 2(1561.457698)
Vector2: win 3, lose 7(1462.049815)
Vector3: win 7, lose 3(1537.950185)
Vector2: win 7, lose 3(1559.445634)
Vector3: win 3, lose 7(1440.554366)
Vector2: win 5, lose 5(1462.766864)
Vector3: win 5, lose 5(1537.233136)
Vector2: win 6, lose 4(1604.292259)
Vector3: win 4, lose 6(1395.707741)
Vector2: win 5, lose 5(1555.736656)
Vector3: win 5, lose 5(1444.263344)
Vector2: win 6, lose 4(1511.658359)
Vector3: win 4, lose 6(1488.341641)
Vector2: win 5, lose 5(1561.418594)
Vector3: win 5, lose 5(1438.581406)
Vector2: win 2, lose 8(1501.028519)
Vector4: win 8, lose 2(1773.392127)
Vector2: win 2, lose 8(1448.408620)
Vector4: win 8, lose 2(1826.012027)
Vector2: win 4, lose 6(1691.999000)
Vector4: win 6, lose 4(1582.421646)
Vector2: win 4, lose 6(1659.824099)
Vector4: win 6, lose 4(1614.596547)
Vector2: win 5, lose 5(1652.525092)
Vector4: win 5, lose 5(1621.895554)
Vector2: win 6, lose 4(1679.957276)
Vector4: win 4, lose 6(1594.463370)
Vector2: win 5, lose 5(1716.649457)
Vector4: win 5, lose 5(1557.771189)
Vector2: win 4, lose 6(1670.527444)
Vector4: win 6, lose 4(1603.893202)
Vector2: win 3, lose 7(1489.105222)
Vector4: win 7, lose 3(1785.315424)
Vector2: win 6, lose 4(1711.047601)
Vector4: win 4, lose 6(1563.373045)
Vector3: win 5, lose 5(1481.817830)
Vector4: win 5, lose 5(1520.136621)
Vector3: win 7, lose 3(1471.146184)
Vector4: win 3, lose 7(1530.808267)
Vector1: win 3, lose 7(1438.270064)
Vector4: win 7, lose 3(1561.729936)
Vector1: win 2, lose 8(1382.510086)
Vector4: win 8, lose 2(1617.489914)
Vector1: win 3, lose 7(1360.319829)
Vector4: win 7, lose 3(1639.680171)
Vector1: win 1, lose 9(1294.266403)
Vector4: win 9, lose 1(1705.733597)
Vector1: win 6, lose 4(1434.614657)
Vector4: win 4, lose 6(1565.385343)
Vector1: win 3, lose 7(1521.272804)
Vector4: win 7, lose 3(1478.727196)
Vector1: win 1, lose 9(1364.816963)
Vector4: win 9, lose 1(1635.183037)
Vector3: win 6, lose 4(1471.138965)
Vector4: win 4, lose 6(1528.861035)
Vector3: win 4, lose 6(1461.199560)
Vector4: win 6, lose 4(1538.800440)
Vector3: win 6, lose 4(1485.232043)
Vector4: win 4, lose 6(1514.767957)
Vector3: win 6, lose 4(1460.835486)
Vector4: win 4, lose 6(1539.164514)
Vector3: win 3, lose 7(1459.340317)
Vector4: win 7, lose 3(1540.659683)
Vector3: win 3, lose 7(1447.122881)
Vector4: win 7, lose 3(1552.877119)
Vector3: win 5, lose 5(1535.911578)
Vector4: win 5, lose 5(1464.088422)
Vector3: win 6, lose 4(1538.956956)
Vector4: win 4, lose 6(1461.043044)
Vector3: win 5, lose 5(1568.810204)
Vector4: win 5, lose 5(1431.189796)
Vector3: win 3, lose 7(1399.144942)
Vector4: win 7, lose 3(1600.855058)
Vector1: win 8, lose 2(1654.058267)
Vector2: win 2, lose 8(1345.941733)
Vector1: win 6, lose 4(1560.116750)
Vector2: win 4, lose 6(1439.883250)
Vector1: win 3, lose 7(1445.673971)
Vector2: win 7, lose 3(1554.326029)
Vector1: win 3, lose 7(1363.810019)
Vector2: win 7, lose 3(1636.189981)
Vector1: win 2, lose 8(1379.451935)
Vector2: win 8, lose 2(1620.548065)
Vector1: win 5, lose 5(1458.418364)
Vector2: win 5, lose 5(1541.581636)
Vector1: win 4, lose 6(1389.209074)
Vector2: win 6, lose 4(1610.790926)
Vector1: win 5, lose 5(1451.959377)
Vector2: win 5, lose 5(1548.040623)
Vector1: win 6, lose 4(1528.828391)
Vector2: win 4, lose 6(1471.171609)
Vector1: win 6, lose 4(1469.805133)
Vector2: win 4, lose 6(1530.194867)
Vector1: win 3, lose 7(1363.763720)
Vector3: win 7, lose 3(1606.041413)
Vector1: win 3, lose 7(1474.058631)
Vector3: win 7, lose 3(1495.746503)
Vector1: win 3, lose 7(1426.953459)
Vector3: win 7, lose 3(1542.851674)
Vector1: win 5, lose 5(1532.884093)
Vector3: win 5, lose 5(1436.921040)
Vector1: win 3, lose 7(1403.270638)
Vector3: win 7, lose 3(1566.534495)
Vector1: win 4, lose 6(1481.918885)
Vector3: win 6, lose 4(1487.886248)
Vector1: win 2, lose 8(1368.404996)
Vector3: win 8, lose 2(1601.400137)
Vector1: win 4, lose 6(1421.035666)
Vector3: win 6, lose 4(1548.769467)
Vector1: win 5, lose 5(1548.539813)
Vector3: win 5, lose 5(1421.265320)
Vector1: win 5, lose 5(1421.253302)
Vector3: win 5, lose 5(1548.551831)
Vector1: win 7, lose 3(1553.390182)
Vector4: win 3, lose 7(1367.863119)
Vector1: win 2, lose 8(1295.373246)
Vector4: win 8, lose 2(1625.880056)
Vector1: win 3, lose 7(1369.774273)
Vector4: win 7, lose 3(1551.479028)
Vector1: win 3, lose 7(1338.386546)
Vector4: win 7, lose 3(1582.866756)
Vector1: win 3, lose 7(1321.068702)
Vector4: win 7, lose 3(1600.184600)
Vector1: win 6, lose 4(1486.430113)
Vector4: win 4, lose 6(1434.823189)
Vector1: win 2, lose 8(1290.448613)
Vector4: win 8, lose 2(1630.804689)
Vector1: win 1, lose 9(1281.242004)
Vector4: win 9, lose 1(1640.011298)
Vector1: win 0, lose 10(1204.872335)
Vector4: win 10, lose 0(1716.380966)
Vector1: win 3, lose 7(1280.189717)
Vector4: win 7, lose 3(1641.063585)
